Author,Citation Count
Laurent Romary,2
Laura Weidinger,2
John F. J. Mellor,2
M. Rauh,2
C. Griffin,2
J. Uesato,2
Po-Sen Huang,2
Myra Cheng,2
B. Balle,2
A. Kasirzadeh,2
Zachary Kenton,2
S. Brown,2
W. Hawkins,2
T. Stepleton,2
C. Biles,2
Julia Haas,2
Laura Rimell,2
Lisa Anne Hendricks,2
William S. Isaac,2
Sean Legassick,2
G. Irving,2
Iason Gabriel,2
Djamé Seddah,2
Kalpesh Krishna,2
Deepak Nathani,2
Lysandre Debut,2
Gabriel Ilharco,2
Dirk Groeneveld,2
Matt Gardner,2
Gowtham Ramesh,2
Sumanth Doddapaneni,2
Anoop Kunchukuttan,2
Pratyush Kumar,2
Christopher Manning,2
Christo Kirov,2
Rahul Aralikatte,2
Maarten Sap,2
Yuxin Zhu,2
Alan Ritter,2
Mihir Kale,2
Divyansh Kaushik,2
Zachary Chase Lipton,2
A. London,2
Mitiku Yohannes Fuge,2
A. Wassie,2
Eyasu Shiferaw Jada,2
Yonas Chanie,2
Walelign Tewabe Sewunetie,2
Joseph Marvin Imperial,2
Arij Riabi,2
Goran Glavavs,2
Sotaro Takeshita,2
Tommaso Green,2
Niklas Friedrich,2
K. Eckert,2
Simone Paolo Ponzetto,2
Han Zhou,2
Amelia Taylor,2
Tebogo Macucwa,2
I. Onyenwe,2
Emile Niyomutabazi,2
Tiezheng Yu,2
E. Razumovskaia,2
Shruti Rijhwani,2
Xinyi Wang,2
Dan Garrette,2
J. Peng,2
Moussa Diallo,2
Oumaima Hourrane,2
Falalu Ibrahim,2
Samuel Rutunda,2
Wendimu Baye Messelle,2
Hailu Beshada Balcha,2
S. Chala,2
Hagos Tesfahun Gebremichael,2
Muhammad Farid Adilazuarda,2
B. Wanjawa,2
Lilian D. A. Wanzare,2
F. Indede,2
Owen McOnyango,2
Edward Ombui,2
Lawrence Muchemi,2
M. Traore,2
Paul Rayson,2
Mahmoud El-Haj,2
Vera Demberg,2
Omar Einea,1
Ashraf Elnagar,1
Ridhwan Al,1
Siwei Lai,1
Liheng Xu,1
Graeme Nail,1
Nikolay Arefyev,1
J. V. D. Linde,1
Shaoxiong Ji,1
Gema Ram'irez-S'anchez,1
Andrey Kutuzov,1
Stephan Oepen,1
Jonathan Dunn,1
Lane Edwards-Brown,1
Tanja Samardzic,1
Ximena Gutierrez,1
Christian Bentz,1
Steven Moran,1
Olga Pelloni,1
